,director_name,duration,director_facebook_likes,actor_1_facebook_likes,gross,actor_1_name,movie_title,facenumber_in_poster,plot_keywords,language,content_rating,budget,title_year,imdb_score,movie_facebook_likes,genre
54,Steven Spielberg,122.0,14000.0,11000.0,317011114.0,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull,2.0,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,English,PG-13,185000000.0,2008.0,6.2,5000,Action
55,Peter Sohn,93.0,113.0,275.0,123070338.0,A.J. Buckley,The Good Dinosaur,0.0,apatosaurus|asteroid|dinosaur|fear|river,English,PG,,2015.0,6.8,20000,Adventure
56,Mark Andrews,93.0,56.0,2000.0,237282182.0,Kelly Macdonald,Brave,0.0,archery|coming of age|female warrior|princess|rebellious daughter,English,PG,185000000.0,2012.0,7.2,39000,Adventure
57,Justin Lin,122.0,681.0,998.0,130468626.0,Sofia Boutella,Star Trek Beyond,4.0,hatred|sequel|space opera|star trek|third part,English,PG-13,185000000.0,2016.0,7.5,30000,Action
58,Andrew Stanton,98.0,475.0,1000.0,223806889.0,John Ratzenberger,WALL·E,0.0,earth|obesity|plant|robot|soil,English,G,180000000.0,2008.0,8.4,16000,Adventure
59,Brett Ratner,91.0,420.0,268.0,140080850.0,Tzi Ma,Rush Hour 3,2.0,ambassador|assassination|chinese|french|triad,English,PG-13,140000000.0,2007.0,6.2,0,Action
60,Roland Emmerich,158.0,776.0,1000.0,166112167.0,Oliver Platt,2012,0.0,ark|catastrophe|geologist|president|writer,English,PG-13,200000000.0,2009.0,5.8,13000,Action
61,Robert Zemeckis,96.0,0.0,18000.0,137850096.0,Robin Wright,A Christmas Carol,0.0,charles dickens|christmas|christmas eve|ghost|scrooge,English,PG,200000000.0,2009.0,6.8,0,Animation
62,Lana Wachowski,127.0,0.0,17000.0,47375327.0,Channing Tatum,Jupiter Ascending,1.0,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,English,PG-13,176000000.0,2015.0,5.4,44000,Action
63,David Yates,110.0,282.0,11000.0,124051759.0,Christoph Waltz,The Legend of Tarzan,2.0,africa|capture|jungle|male objectification|tarzan,English,PG-13,180000000.0,2016.0,6.6,29000,Action
64,Andrew Adamson,150.0,80.0,1000.0,291709845.0,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",5.0,hide and seek|lion|magic|professor|snow,English,PG,180000000.0,2005.0,6.9,0,Adventure
65,Bryan Singer,144.0,0.0,34000.0,154985087.0,Jennifer Lawrence,X-Men: Apocalypse,6.0,mutant|superhero|superhero team|x men|year 1983,English,PG-13,178000000.0,2016.0,7.3,54000,Action
66,Christopher Nolan,152.0,22000.0,23000.0,533316061.0,Christian Bale,The Dark Knight,0.0,based on comic book|dc comics|psychopath|star died before release|urban setting,English,PG-13,185000000.0,2008.0,9.0,37000,Action
67,Pete Docter,96.0,0.0,1000.0,292979556.0,John Ratzenberger,Up,1.0,balloon|house|promise|retirement|skeleton,English,PG,175000000.0,2009.0,8.3,27000,Adventure
68,Rob Letterman,94.0,11.0,1000.0,198332128.0,Amy Poehler,Monsters vs. Aliens,2.0,alien|alien invasion|alien space craft|giant|giantess,English,PG,175000000.0,2009.0,6.5,0,Action
69,Jon Favreau,126.0,4000.0,21000.0,318298180.0,Robert Downey Jr.,Iron Man,3.0,afghanistan|billionaire|inventor|playboy|u.s. air force,English,PG-13,140000000.0,2008.0,7.9,10000,Action
70,Martin Scorsese,126.0,17000.0,17000.0,73820094.0,Chloë Grace Moretz,Hugo,0.0,automaton|mechanical|railway station|steampunk|train,English,PG,170000000.0,2011.0,7.5,42000,Adventure
71,Barry Sonnenfeld,106.0,188.0,10000.0,113745408.0,Will Smith,Wild Wild West,2.0,buddy movie|general|inventor|steampunk|utah,English,PG-13,170000000.0,1999.0,4.8,0,Action
72,Rob Cohen,112.0,357.0,5000.0,102176165.0,Jet Li,The Mummy: Tomb of the Dragon Emperor,2.0,army|china|emperor|mummy|shangri la,English,PG-13,145000000.0,2008.0,5.2,0,Action
73,David Ayer,123.0,452.0,10000.0,161087183.0,Will Smith,Suicide Squad,8.0,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,English,PG-13,175000000.0,2016.0,6.9,80000,Action
74,Tom Shadyac,96.0,293.0,87000.0,100289690.0,Jimmy Bennett,Evan Almighty,0.0,ark|change|congressman|depiction of god|flood,English,PG,175000000.0,2007.0,5.4,2000,Comedy
75,Doug Liman,113.0,218.0,10000.0,100189501.0,Tom Cruise,Edge of Tomorrow,1.0,alien|combat|dying repeatedly|end of the world|time loop,English,PG-13,178000000.0,2014.0,7.9,77000,Action
76,Kevin Reynolds,176.0,58.0,711.0,88246220.0,Jeanne Tripplehorn,Waterworld,0.0,future|sail|sea|smoker|water,English,PG-13,175000000.0,1995.0,6.1,0,Action
77,Stephen Sommers,118.0,208.0,23000.0,150167630.0,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra,4.0,cobra|gi joe|snake|train|warhead,English,PG-13,175000000.0,2009.0,5.8,0,Action
78,Pete Docter,95.0,0.0,1000.0,356454367.0,Amy Poehler,Inside Out,1.0,anger|joy|memory|running away|sadness,English,PG,175000000.0,2015.0,8.3,118000,Adventure
79,Jon Favreau,106.0,4000.0,19000.0,362645141.0,Scarlett Johansson,The Jungle Book,0.0,fire|jungle|remake|tiger|wolf,English,PG,175000000.0,2016.0,7.8,65000,Adventure
80,Jon Favreau,124.0,4000.0,21000.0,312057433.0,Robert Downey Jr.,Iron Man 2,4.0,hammer|military|monaco|revenge|tony stark,English,PG-13,200000000.0,2010.0,7.0,18000,Action
81,Rupert Sanders,132.0,274.0,26000.0,155111815.0,Chris Hemsworth,Snow White and the Huntsman,0.0,evil queen|fairy tale|magic|queen|snow white,English,PG-13,170000000.0,2012.0,6.1,53000,Action
82,Robert Stromberg,97.0,171.0,11000.0,241407328.0,Angelina Jolie Pitt,Maleficent,2.0,curse|dark fantasy|fairy|king|kingdom,English,PG,180000000.0,2014.0,7.0,89000,Action
83,Matt Reeves,130.0,198.0,10000.0,208543795.0,Gary Oldman,Dawn of the Planet of the Apes,0.0,ape|dam|leader|post apocalypse|sequel,English,PG-13,170000000.0,2014.0,7.6,45000,Action
84,Roland Joffé,109.0,596.0,622.0,,Tamsin Egerton,The Lovers,3.0,1770s|british india|great barrier reef|india|ring,English,R,,2015.0,4.5,677,Action
85,Carl Rinsch,128.0,47.0,18000.0,38297305.0,Keanu Reeves,47 Ronin,2.0,box office flop|ronin|samurai|shogun|tournament,English,PG-13,175000000.0,2013.0,6.3,35000,Action
86,Anthony Russo,136.0,94.0,19000.0,259746958.0,Scarlett Johansson,Captain America: The Winter Soldier,1.0,conspiracy|heroism|megalomaniac|super soldier|world domination,English,PG-13,170000000.0,2014.0,7.8,55000,Action
87,Mike Mitchell,93.0,31.0,4000.0,238371987.0,Jon Hamm,Shrek Forever After,2.0,alternate world|fairy tale parody|female warrior|ogre|true love,English,PG,165000000.0,2010.0,6.4,0,Adventure
88,Brad Bird,130.0,663.0,2000.0,93417865.0,Judy Greer,Tomorrowland,2.0,boy genius|futuristic city|inventor|teenage girl|time travel,English,PG,190000000.0,2015.0,6.5,37000,Action
89,Don Hall,102.0,38.0,756.0,222487711.0,Damon Wayans Jr.,Big Hero 6,0.0,high tech|martial arts|masked man|robot|superhero,English,PG,165000000.0,2014.0,7.9,41000,Action
90,Rich Moore,101.0,66.0,975.0,189412677.0,Jack McBrayer,Wreck-It Ralph,1.0,arcade|candy|glitch|king|medal,English,PG,165000000.0,2012.0,7.8,40000,Adventure
91,Robert Zemeckis,100.0,0.0,15000.0,665426.0,Tom Hanks,The Polar Express,0.0,boy|christmas|christmas eve|north pole|train,English,G,165000000.0,2004.0,6.6,10000,Adventure
92,Roland Emmerich,120.0,776.0,890.0,102315545.0,Vivica A. Fox,Independence Day: Resurgence,0.0,alien|battle|defense|independence day|mothership,English,PG-13,165000000.0,2016.0,5.5,67000,Action
93,Dean DeBlois,98.0,255.0,18000.0,217387997.0,Gerard Butler,How to Train Your Dragon,0.0,dragon|island|training|viking|village,English,PG,165000000.0,2010.0,8.2,33000,Adventure
94,Jonathan Mostow,109.0,84.0,648.0,150350192.0,Nick Stahl,Terminator 3: Rise of the Machines,0.0,drifter|exploding truck|future|machine|skynet,English,R,200000000.0,2003.0,6.4,0,Action
95,James Gunn,121.0,571.0,14000.0,333130696.0,Bradley Cooper,Guardians of the Galaxy,3.0,bounty hunter|outer space|raccoon|talking animal|tree,English,PG-13,170000000.0,2014.0,8.1,96000,Action
96,Christopher Nolan,169.0,22000.0,11000.0,187991439.0,Matthew McConaughey,Interstellar,1.0,black hole|father daughter relationship|saving the world|space travel|wormhole,English,PG-13,165000000.0,2014.0,8.6,349000,Adventure
97,Christopher Nolan,148.0,22000.0,29000.0,292568851.0,Leonardo DiCaprio,Inception,0.0,ambiguous ending|corporate espionage|dream|subconscious|thief,English,PG-13,160000000.0,2010.0,8.8,175000,Action
98,Hideaki Anno,120.0,28.0,544.0,,Mark Chinnery,Godzilla Resurgence,0.0,blood|godzilla|monster|sequel,Japanese,,,2016.0,8.2,0,Action
99,Peter Jackson,182.0,0.0,5000.0,303001229.0,Aidan Turner,The Hobbit: An Unexpected Journey,,dragon|dwarf|hobbit|orc|wizard,English,PG-13,180000000.0,2012.0,7.9,166000,Adventure
100,Rob Cohen,106.0,357.0,23000.0,144512310.0,Paul Walker,The Fast and the Furious,2.0,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,English,PG-13,38000000.0,2001.0,6.7,14000,Action
101,David Fincher,166.0,21000.0,11000.0,127490802.0,Brad Pitt,The Curious Case of Benjamin Button,2.0,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,English,PG-13,150000000.0,2008.0,7.8,23000,Drama
102,Matthew Vaughn,132.0,905.0,34000.0,146405371.0,Jennifer Lawrence,X-Men: First Class,3.0,cia|cia agent|mutant|nuclear war|professor,English,PG-13,160000000.0,2011.0,7.8,54000,Action
103,Francis Lawrence,137.0,508.0,34000.0,281666058.0,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2,1.0,death of sister|dystopia|execution|rebellion|revolution,English,PG-13,160000000.0,2015.0,6.6,38000,Adventure
104,Jon Turteltaub,109.0,226.0,12000.0,63143812.0,Nicolas Cage,The Sorcerer's Apprentice,0.0,chosen one|enchanted object|love|spell|training,English,PG,150000000.0,2010.0,6.1,11000,Action
105,Wolfgang Petersen,98.0,249.0,87000.0,60655503.0,Jimmy Bennett,Poseidon,0.0,cruise|escape|ocean|passenger|water,English,PG-13,160000000.0,2006.0,5.6,0,Action
106,James Bobin,113.0,33.0,40000.0,76846624.0,Johnny Depp,Alice Through the Looking Glass,1.0,clock|dark fantasy|mad hatter|queen|sequel,English,PG,170000000.0,2016.0,6.4,30000,Adventure
107,Chris Miller,93.0,50.0,3000.0,320706665.0,Justin Timberlake,Shrek the Third,2.0,disney spoof|fairy tale|prince|princess|tough guy,English,PG,160000000.0,2007.0,6.1,0,Adventure
108,Duncan Jones,123.0,0.0,3000.0,46978995.0,Dominic Cooper,Warcraft,0.0,based on video game|fictional language|fictional war|orc|sword and sorcery,English,PG-13,160000000.0,2016.0,7.3,89000,Action
109,Alan Taylor,126.0,230.0,24000.0,89732035.0,J.K. Simmons,Terminator Genisys,2.0,alternate timeline|cyborg|future|robot|time machine,English,PG-13,155000000.0,2015.0,6.6,82000,Action
110,Michael Apted,113.0,150.0,531.0,104383624.0,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader,4.0,dragon|king|mouse|quest|warrior,English,PG,155000000.0,2010.0,6.3,11000,Adventure
111,Michael Bay,184.0,0.0,3000.0,198539855.0,Jennifer Garner,Pearl Harbor,0.0,air raid|black smoke|japanese military|japanese navy|sunday,English,PG-13,140000000.0,2001.0,6.1,0,Action
112,Michael Bay,144.0,0.0,662.0,318759914.0,Zack Ward,Transformers,0.0,alien contact|autobot|decepticon|robot vs. robot|teenage hero,English,PG-13,150000000.0,2007.0,7.1,8000,Action
113,Oliver Stone,206.0,0.0,12000.0,34293771.0,Anthony Hopkins,Alexander,3.0,ancient greece|conquest|greek|greek myth|king,English,R,155000000.0,2004.0,5.5,0,Action
114,David Yates,138.0,282.0,21000.0,292000866.0,Robert Pattinson,Harry Potter and the Order of the Phoenix,3.0,battle|magic|school|teacher|wizard,English,PG-13,150000000.0,2007.0,7.5,0,Adventure
115,Mike Newell,157.0,179.0,21000.0,289994397.0,Robert Pattinson,Harry Potter and the Goblet of Fire,1.0,fire|goblet|magic|tournament|wizard,English,PG-13,150000000.0,2005.0,7.6,0,Adventure
116,Peter Berg,102.0,532.0,10000.0,227946274.0,Will Smith,Hancock,0.0,bully comeuppance|destruction|prison|superhero|tough girl,English,PG-13,150000000.0,2008.0,6.4,0,Action
117,Francis Lawrence,104.0,508.0,10000.0,256386216.0,Will Smith,I Am Legend,0.0,new york city|pandemic|post apocalypse|survivalist|virus,English,PG-13,150000000.0,2007.0,7.2,11000,Drama
118,Tim Burton,115.0,13000.0,40000.0,206456431.0,Johnny Depp,Charlie and the Chocolate Factory,3.0,chocolate|diminution|miniaturization|physical flexability|ticket,English,PG,150000000.0,2005.0,6.7,0,Adventure
119,Brad Bird,111.0,663.0,1000.0,206435493.0,Janeane Garofalo,Ratatouille,0.0,chef|food|french|rat|restaurant,English,G,150000000.0,2007.0,8.0,10000,Animation
120,Christopher Nolan,128.0,22000.0,23000.0,205343774.0,Christian Bale,Batman Begins,0.0,armored car|gangster|gotham|mixed martial arts|social decay,English,PG-13,150000000.0,2005.0,8.3,15000,Action
121,Eric Darnell,89.0,35.0,1000.0,179982968.0,Bernie Mac,Madagascar: Escape 2 Africa,0.0,africa|madagascar|new york city|sequel|zoo,English,PG,150000000.0,2008.0,6.7,0,Action
122,Shawn Levy,105.0,189.0,49000.0,177243721.0,Robin Williams,Night at the Museum: Battle of the Smithsonian,2.0,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,English,PG,150000000.0,2009.0,5.9,2000,Adventure
123,Gavin Hood,119.0,151.0,20000.0,179883016.0,Hugh Jackman,X-Men Origins: Wolverine,0.0,army|civil war|claw fight|commando|wolverine the character,English,PG-13,150000000.0,2009.0,6.7,0,Action
124,Lana Wachowski,129.0,0.0,309.0,139259759.0,Essie Davis,The Matrix Revolutions,0.0,battle|epic|fight|future|machine,English,R,150000000.0,2003.0,6.7,0,Action
125,Chris Buck,102.0,69.0,1000.0,400736600.0,Josh Gad,Frozen,0.0,magic|sister love|sister sister relationship|snow|snowman,English,PG,150000000.0,2013.0,7.6,58000,Adventure
126,Lana Wachowski,138.0,0.0,234.0,281492479.0,Steve Bastoni,The Matrix Reloaded,0.0,car motorcycle chase|one against many|oracle|prophecy|stylized violence,English,R,150000000.0,2003.0,7.2,0,Action
127,Alan Taylor,112.0,230.0,26000.0,206360018.0,Chris Hemsworth,Thor: The Dark World,3.0,arrest|portal|thor|warrior|weapon,English,PG-13,170000000.0,2013.0,7.1,63000,Action
128,George Miller,120.0,750.0,27000.0,153629485.0,Tom Hardy,Mad Max: Fury Road,0.0,australia|desert|escape|on the run|post apocalypse,English,R,150000000.0,2015.0,8.1,191000,Action
129,Ron Howard,146.0,2000.0,15000.0,133375846.0,Tom Hanks,Angels & Demons,2.0,conclave|illuminati|murder|reference to bernini|reference to raphael,English,PG-13,150000000.0,2009.0,6.7,0,Mystery
130,Kenneth Branagh,115.0,0.0,26000.0,181015141.0,Chris Hemsworth,Thor,1.0,battle|marvel cinematic universe|scientist|thor|throne,English,PG-13,150000000.0,2011.0,7.0,63000,Action
131,Byron Howard,96.0,59.0,17000.0,114053579.0,Chloë Grace Moretz,Bolt,0.0,cat|dog|hamster|new york city|superpower,English,PG,150000000.0,2008.0,6.9,0,Adventure
132,Hoyt Yeatman,88.0,12.0,730.0,119420252.0,Kelli Garner,G-Force,0.0,fbi director|guinea pig|household appliance|secret agent|talking mouse,English,PG,150000000.0,2009.0,5.1,0,Action
133,Jonathan Liebesman,99.0,473.0,14000.0,83640426.0,Liam Neeson,Wrath of the Titans,0.0,ares|hades|titan|underworld|zeus,English,PG-13,150000000.0,2012.0,5.8,19000,Action
134,Tim Burton,113.0,13000.0,40000.0,79711678.0,Johnny Depp,Dark Shadows,7.0,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,English,PG-13,100000000.0,2012.0,6.2,82000,Comedy
135,Christopher McQuarrie,131.0,188.0,10000.0,195000874.0,Tom Cruise,Mission: Impossible - Rogue Nation,0.0,capture|computer hacker|mission|rogue agent|spy,English,PG-13,150000000.0,2015.0,7.4,47000,Action
