dteday,temp,windspeed,casual_riders,registered_riders
5/11/11,0.5425,0.120642,550,3632
5/12/11,0.535,0.189667,695,4169
5/13/11,0.5125,0.179725,692,3413
5/14/11,0.520833,0.13495,902,2507
5/15/11,0.5625,0.152979,1582,2971
5/16/11,0.5775,0.126871,773,3185
5/17/11,0.561667,0.277354,678,3445
5/18/11,0.55,0.201492,536,3319
5/19/11,0.530833,0.108213,735,3840
5/20/11,0.536667,0.125013,909,4008
5/21/11,0.6025,0.12065,2258,3547
5/22/11,0.604167,0.148008,1576,3084
5/23/11,0.631667,0.233842,836,3438
5/24/11,0.66,0.207092,659,3833
5/25/11,0.660833,0.154233,740,4238
5/26/11,0.708333,0.199642,758,3919
5/27/11,0.681667,0.240679,871,3808
5/28/11,0.655833,0.230092,2001,2757
5/29/11,0.6675,0.213938,2355,2433
5/30/11,0.733333,0.131225,1549,2549
5/31/11,0.775,0.111329,673,3309
6/1/11,0.764167,0.207092,513,3461
6/2/11,0.715,0.292287,736,4232
6/3/11,0.62,0.253121,898,4414
6/4/11,0.635,0.123142,1869,3473
6/5/11,0.648333,0.138692,1685,3221
6/6/11,0.678333,0.121896,673,3875
6/7/11,0.7075,0.187808,763,4070
6/8/11,0.775833,0.136817,676,3725
6/9/11,0.808333,0.149883,563,3352
6/10/11,0.755,0.140554,815,3771
6/11/11,0.725,0.15485,1729,3237
6/12/11,0.6925,0.163567,1467,2993
6/13/11,0.635,0.30535,863,4157
6/14/11,0.604167,0.269283,727,4164
6/15/11,0.626667,0.167912,769,4411
6/16/11,0.628333,0.206471,545,3222
6/17/11,0.649167,0.143029,863,3981
6/18/11,0.696667,0.119408,1807,3312
6/19/11,0.699167,0.102,1639,3105
6/20/11,0.635,0.155475,699,3311
6/21/11,0.680833,0.171025,774,4061
6/22/11,0.733333,0.172262,661,3846
6/23/11,0.728333,0.238804,746,4044
6/24/11,0.724167,0.222025,969,4022
6/25/11,0.695,0.209571,1782,3420
6/26/11,0.68,0.0945333,1920,3385
6/27/11,0.6825,0.107588,854,3854
6/28/11,0.744167,0.144283,732,3916
6/29/11,0.728333,0.261821,848,4377
6/30/11,0.696667,0.185312,1027,4488
7/1/11,0.7225,0.102608,1246,4116
7/2/11,0.738333,0.115062,2204,2915
7/3/11,0.716667,0.228858,2282,2367
7/4/11,0.726667,0.0814792,3065,2978
7/5/11,0.746667,0.126258,1031,3634
7/6/11,0.72,0.149883,784,3845
7/7/11,0.75,0.1592,754,3838
7/8/11,0.709167,0.225129,692,3348
7/9/11,0.733333,0.167912,1988,3348
7/10/11,0.7475,0.183471,1743,3138
7/11/11,0.7625,0.282337,723,3363
7/12/11,0.794167,0.200254,662,3596
7/13/11,0.746667,0.146133,748,3594
7/14/11,0.680833,0.240667,888,4196
7/15/11,0.663333,0.182833,1318,4220
7/16/11,0.686667,0.208342,2418,3505
7/17/11,0.719167,0.245033,2006,3296
7/18/11,0.746667,0.215804,841,3617
7/19/11,0.776667,0.1306,752,3789
7/20/11,0.768333,0.113817,644,3688
7/21/11,0.815,0.222021,632,3152
7/22/11,0.848333,0.1331,562,2825
7/23/11,0.849167,0.131221,987,2298
7/24/11,0.83,0.169171,1050,2556
7/25/11,0.743333,0.0908083,568,3272
7/26/11,0.771667,0.200258,750,3840
7/27/11,0.775,0.183463,755,3901
7/28/11,0.779167,0.178479,606,3784
7/29/11,0.838333,0.174138,670,3176
7/30/11,0.804167,0.168537,1559,2916
7/31/11,0.805833,0.164813,1524,2778
8/1/11,0.771667,0.156717,729,3537
8/2/11,0.783333,0.20585,801,4044
8/3/11,0.731667,0.135583,467,3107
8/4/11,0.71,0.19715,799,3777
8/5/11,0.710833,0.184696,1023,3843
8/6/11,0.716667,0.22825,1521,2773
8/7/11,0.7425,0.201487,1298,2487
8/8/11,0.765,0.192175,846,3480
8/9/11,0.775,0.151121,907,3695
8/10/11,0.766667,0.200258,884,3896
8/11/11,0.7175,0.164796,812,3980
8/12/11,0.708333,0.125621,1051,3854
8/13/11,0.685833,0.211454,1504,2646
8/14/11,0.676667,0.222633,1338,2482
8/15/11,0.665833,0.208954,775,3563
8/16/11,0.700833,0.236329,721,4004
8/17/11,0.723333,0.143667,668,4026
8/18/11,0.711667,0.233208,639,3166
8/19/11,0.685,0.139308,797,3356
8/20/11,0.6975,0.104467,1914,3277
8/21/11,0.710833,0.248754,1249,2624
8/22/11,0.691667,0.27675,833,3925
8/23/11,0.640833,0.146763,1281,4614
8/24/11,0.673333,0.253108,949,4181
8/25/11,0.684167,0.210833,435,3107
8/26/11,0.7,0.0839625,768,3893
8/27/11,0.68,0.375617,226,889
8/28/11,0.707059,0.304659,1415,2919
8/29/11,0.636667,0.159825,729,3905
8/30/11,0.639167,0.125008,775,4429
8/31/11,0.656667,0.0833333,688,4370
9/1/11,0.655,0.141796,783,4332
9/2/11,0.643333,0.139929,875,3852
9/3/11,0.669167,0.185325,1935,2549
9/4/11,0.709167,0.206467,2521,2419
9/5/11,0.673333,0.212696,1236,2115
9/6/11,0.54,0.343943,204,2506
9/7/11,0.599167,0.0970208,118,1878
9/8/11,0.633913,0.192748,153,1689
9/9/11,0.65,0.124379,417,3127
9/10/11,0.66,0.153608,1750,3595
9/11/11,0.653333,0.115054,1633,3413
9/12/11,0.644348,0.088913,690,4023
9/13/11,0.650833,0.141804,701,4062
9/14/11,0.673333,0.1673,647,4138
9/15/11,0.5775,0.271146,428,3231
9/16/11,0.469167,0.164183,742,4018
9/17/11,0.491667,0.189675,1434,3077
9/18/11,0.5075,0.178483,1353,2921
9/19/11,0.549167,0.151742,691,3848
9/20/11,0.561667,0.134954,438,3203
9/21/11,0.595,0.0964042,539,3813
9/22/11,0.628333,0.128125,555,4240
9/23/11,0.609167,0.0783667,258,2137
9/24/11,0.606667,0.0783833,1776,3647
9/25/11,0.634167,0.0503792,1544,3466
9/26/11,0.649167,0.1107,684,3946
9/27/11,0.636667,0.118171,477,3643
9/28/11,0.635,0.148629,480,3427
9/29/11,0.616667,0.172883,653,4186
9/30/11,0.564167,0.206475,830,4372
10/1/11,0.41,0.292296,480,1949
10/2/11,0.356667,0.222013,616,2302
10/3/11,0.384167,0.0833458,330,3240
10/4/11,0.484167,0.205854,486,3970
10/5/11,0.538333,0.17725,559,4267
10/6/11,0.494167,0.134954,639,4126
10/7/11,0.510833,0.0223917,949,4036
10/8/11,0.521667,0.0454042,2235,3174
10/9/11,0.540833,0.06345,2397,3114
10/10/11,0.570833,0.0423042,1514,3603
10/11/11,0.566667,0.143042,667,3896
10/12/11,0.543333,0.24815,217,2199
10/13/11,0.589167,0.141787,290,2623
10/14/11,0.550833,0.223883,529,3115
10/15/11,0.506667,0.258083,1899,3318
10/16/11,0.511667,0.281717,1748,3293
10/17/11,0.534167,0.175379,713,3857
10/18/11,0.5325,0.110087,637,4111
10/19/11,0.541739,0.243339,254,2170
10/20/11,0.475833,0.422275,471,3724
10/21/11,0.4275,0.221396,676,3628
10/22/11,0.4225,0.0926667,1499,2809
10/23/11,0.421667,0.0995125,1619,2762
10/24/11,0.463333,0.118792,699,3488
10/25/11,0.471667,0.166658,695,3992
10/26/11,0.484167,0.148642,404,3490
10/27/11,0.47,0.197763,240,2419
10/28/11,0.330833,0.229479,456,3291
10/29/11,0.254167,0.351371,57,570
10/30/11,0.319167,0.176617,885,2446
10/31/11,0.34,0.10635,362,3307
11/1/11,0.400833,0.135571,410,3658
11/2/11,0.3775,0.0820917,370,3816
11/3/11,0.408333,0.136817,318,3656
11/4/11,0.403333,0.271779,470,3576
11/5/11,0.326667,0.189062,1156,2770
11/6/11,0.348333,0.0920542,952,2697
11/7/11,0.395,0.057225,373,3662
11/8/11,0.408333,0.0690375,376,3829
11/9/11,0.4,0.0621958,305,3804
11/10/11,0.38,0.189067,190,2743
11/11/11,0.324167,0.314675,440,2928
11/12/11,0.356667,0.212062,1275,2792
11/13/11,0.440833,0.281721,1004,2713
11/14/11,0.53,0.306596,595,3891
11/15/11,0.53,0.199633,449,3746
11/16/11,0.456667,0.136829,145,1672
11/17/11,0.341667,0.305362,139,2914
11/18/11,0.274167,0.168533,245,3147
11/19/11,0.329167,0.224496,943,2720
11/20/11,0.463333,0.18595,787,2733
11/21/11,0.4475,0.138054,220,2545
11/22/11,0.416667,0.118792,69,1538
11/23/11,0.440833,0.335825,112,2454
11/24/11,0.373333,0.167304,560,935
11/25/11,0.375,0.0988958,1095,1697
11/26/11,0.375833,0.0684208,1249,1819
11/27/11,0.459167,0.208954,810,2261
11/28/11,0.503478,0.142122,253,3614
11/29/11,0.458333,0.258092,96,2818
11/30/11,0.325,0.271158,188,3425
12/1/11,0.3125,0.220158,182,3545
12/2/11,0.314167,0.100754,268,3672
12/3/11,0.299167,0.0957833,706,2908
12/4/11,0.330833,0.0839583,634,2851
12/5/11,0.385833,0.0622083,233,3578
12/6/11,0.4625,0.232583,126,2468
12/7/11,0.41,0.266175,50,655
12/8/11,0.265833,0.240058,150,3172
12/9/11,0.290833,0.0827167,261,3359
12/10/11,0.275,0.233221,502,2688
12/11/11,0.220833,0.0665417,377,2366
12/12/11,0.238333,0.06345,143,3167
12/13/11,0.2825,0.14055,155,3368
12/14/11,0.3175,0.0609583,178,3562
12/15/11,0.4225,0.268042,181,3528
12/16/11,0.375,0.260575,178,3399
12/17/11,0.258333,0.243167,275,2464
12/18/11,0.238333,0.169779,220,2211
12/19/11,0.276667,0.172896,260,3143
12/20/11,0.385833,0.0615708,216,3534
12/21/11,0.428333,0.2214,107,2553
12/22/11,0.423333,0.047275,227,2841
12/23/11,0.373333,0.274246,163,2046
12/24/11,0.3025,0.190304,155,856
12/25/11,0.274783,0.155091,303,451
12/26/11,0.321739,0.239465,430,887
12/27/11,0.325,0.18845,103,1059
12/28/11,0.29913,0.293961,255,2047
12/29/11,0.248333,0.119412,254,2169
12/30/11,0.311667,0.134337,491,2508
12/31/11,0.41,0.220154,665,1820
1/1/12,0.37,0.192167,686,1608
1/2/12,0.273043,0.329665,244,1707
1/3/12,0.15,0.365671,89,2147
1/4/12,0.1075,0.1847,95,2273
1/5/12,0.265833,0.129987,140,3132
1/6/12,0.334167,0.167908,307,3791
1/7/12,0.393333,0.174758,1070,3451
1/8/12,0.3375,0.191542,599,2826
1/9/12,0.224167,0.0989,106,2270
1/10/12,0.308696,0.187552,173,3425
1/11/12,0.274167,0.131221,92,2085
1/12/12,0.3825,0.180967,269,3828
1/13/12,0.274167,0.378108,174,3040
1/14/12,0.18,0.187183,333,2160
1/15/12,0.166667,0.251258,284,2027
1/16/12,0.19,0.231358,217,2081
1/17/12,0.373043,0.34913,127,2808
1/18/12,0.303333,0.415429,109,3267
1/19/12,0.19,0.220158,130,3162
1/20/12,0.2175,0.20275,115,3048
1/21/12,0.173333,0.222642,67,1234
1/22/12,0.1625,0.199638,196,1781
1/23/12,0.218333,0.110708,145,2287
1/24/12,0.3425,0.123767,439,3900
1/25/12,0.294167,0.161071,467,3803
1/26/12,0.341667,0.0733958,244,3831
1/27/12,0.425,0.342667,269,3187
1/28/12,0.315833,0.210829,775,3248
1/29/12,0.2825,0.24005,558,2685
1/30/12,0.269167,0.215792,126,3498
1/31/12,0.39,0.261817,324,4185
2/1/12,0.469167,0.189067,304,4275
2/2/12,0.399167,0.187187,190,3571
2/3/12,0.313333,0.178496,310,3841
2/4/12,0.264167,0.121896,384,2448
2/5/12,0.265833,0.175996,318,2629
2/6/12,0.282609,0.1538,206,3578
2/7/12,0.354167,0.147379,199,4176
2/8/12,0.256667,0.133721,109,2693
2/9/12,0.265,0.194037,163,3667
2/10/12,0.280833,0.116929,227,3604
2/11/12,0.224167,0.289796,192,1977
2/12/12,0.1275,0.409212,73,1456
2/13/12,0.2225,0.167283,94,3328
2/14/12,0.319167,0.141179,135,3787
2/15/12,0.348333,0.1816,141,4028
2/16/12,0.316667,0.091425,74,2931
2/17/12,0.343333,0.205846,349,3805
2/18/12,0.346667,0.190929,1435,2883
2/19/12,0.28,0.253112,618,2071
2/20/12,0.28,0.229083,502,2627
2/21/12,0.287826,0.205717,163,3614
2/22/12,0.395833,0.234471,394,4379
2/23/12,0.454167,0.190913,516,4546
2/24/12,0.4075,0.237567,246,3241
2/25/12,0.290833,0.421642,317,2415
2/26/12,0.279167,0.205229,515,2874
2/27/12,0.366667,0.268033,253,4069
2/28/12,0.359167,0.193417,229,4134
2/29/12,0.344348,0.179117,65,1769
3/1/12,0.485833,0.226987,325,4665
3/2/12,0.353333,0.144904,246,2948
3/3/12,0.414167,0.161079,956,3110
3/4/12,0.325833,0.334571,710,2713
3/5/12,0.243333,0.228858,203,3130
3/6/12,0.258333,0.200875,221,3735
3/7/12,0.404167,0.345779,432,4484
3/8/12,0.5275,0.441563,486,4896
3/9/12,0.410833,0.4148,447,4122
3/10/12,0.2875,0.22575,968,3150
3/11/12,0.361739,0.222587,1658,3253
3/12/12,0.466667,0.207713,838,4460
3/13/12,0.565,0.23695,762,5085
3/14/12,0.5725,0.115062,997,5315
3/15/12,0.5575,0.149883,1005,5187
3/16/12,0.435833,0.113192,548,3830
3/17/12,0.514167,0.110704,3155,4681
3/18/12,0.4725,0.126883,2207,3685
3/19/12,0.545,0.162317,982,5171
3/20/12,0.560833,0.121271,1051,5042
3/21/12,0.531667,0.0895583,1122,5108
3/22/12,0.554167,0.117562,1334,5537
3/23/12,0.601667,0.1163,2469,5893
3/24/12,0.5025,0.192783,1033,2339
3/25/12,0.4375,0.220775,1532,3464
3/26/12,0.445833,0.386821,795,4763
3/27/12,0.323333,0.187192,531,4571
3/28/12,0.484167,0.291671,674,5024
3/29/12,0.494167,0.31965,834,5299
3/30/12,0.37,0.138067,796,4663
3/31/12,0.424167,0.250617,2301,3934
4/1/12,0.425833,0.172267,2347,3694
4/2/12,0.433913,0.312139,1208,4728
4/3/12,0.466667,0.100133,1348,5424
4/4/12,0.541667,0.180975,1058,5378
4/5/12,0.435,0.219529,1192,5265
4/6/12,0.403333,0.300388,1807,4653
4/7/12,0.4375,0.274871,3252,3605
4/8/12,0.5,0.232596,2230,2939
4/9/12,0.489167,0.358196,905,4680
4/10/12,0.446667,0.249375,819,5099
4/11/12,0.348696,0.295274,482,4380
4/12/12,0.3975,0.290429,663,4746
4/13/12,0.4425,0.155471,1252,5146
4/14/12,0.495,0.190917,2795,4665
4/15/12,0.606667,0.225129,2846,4286
4/16/12,0.664167,0.284829,1198,5172
4/17/12,0.608333,0.273629,989,5702
4/18/12,0.463333,0.167912,347,4020
4/19/12,0.498333,0.0659292,846,5719
4/20/12,0.526667,0.149871,1340,5950
4/21/12,0.57,0.283587,2541,4083
4/22/12,0.396667,0.344546,120,907
4/23/12,0.321667,0.303496,195,3019
4/24/12,0.413333,0.249383,518,5115
4/25/12,0.476667,0.118792,655,5541
4/26/12,0.498333,0.176625,475,4551
4/27/12,0.4575,0.347633,1014,5219
4/28/12,0.376667,0.129975,1120,3100
4/29/12,0.458333,0.116908,2229,4075
4/30/12,0.464167,0.171638,665,4907
5/1/12,0.613333,0.156096,653,5087
5/2/12,0.564167,0.138058,667,5502
5/3/12,0.56,0.133696,764,5657
5/4/12,0.6275,0.162938,1069,5227
5/5/12,0.621667,0.152992,2496,4387
5/6/12,0.5625,0.149879,2135,4224
5/7/12,0.5375,0.230721,1008,5265
5/8/12,0.581667,0.296029,738,4990
5/9/12,0.575,0.216412,620,4097
5/10/12,0.505833,0.314063,1026,5546
5/11/12,0.533333,0.236937,1319,5711
5/12/12,0.564167,0.123133,2622,4807
5/13/12,0.6125,0.225117,2172,3946
5/14/12,0.573333,0.212692,342,2501
5/15/12,0.611667,0.147392,625,4490
5/16/12,0.636667,0.122512,991,6433
5/17/12,0.593333,0.229475,1242,6142
5/18/12,0.564167,0.136817,1521,6118
5/19/12,0.6,0.083975,3410,4884
5/20/12,0.620833,0.254367,2704,4425
5/21/12,0.598333,0.233204,630,3729
5/22/12,0.615,0.118167,819,5254
5/23/12,0.621667,0.102,766,4494
5/24/12,0.655,0.172896,1059,5711
5/25/12,0.68,0.14055,1417,5317
5/26/12,0.6925,0.198992,2855,3681
5/27/12,0.69,0.215171,3283,3308
5/28/12,0.7125,0.196521,2557,3486
5/29/12,0.7225,0.2954,880,4863
5/30/12,0.656667,0.134329,745,6110
5/31/12,0.68,0.195279,1100,6238
6/1/12,0.654167,0.237563,533,3594
6/2/12,0.583333,0.186562,2795,5325
6/3/12,0.6025,0.184087,2494,5147
6/4/12,0.5975,0.284833,1071,5927
6/5/12,0.540833,0.209575,968,6033
6/6/12,0.554167,0.077125,1027,6028
6/7/12,0.6025,0.15735,1038,6456
6/8/12,0.649167,0.175383,1488,6248
6/9/12,0.710833,0.144287,2708,4790
6/10/12,0.726667,0.133721,2224,4374
6/11/12,0.720833,0.207713,1017,5647
6/12/12,0.653333,0.214546,477,4495
6/13/12,0.655833,0.343279,1173,6248
6/14/12,0.648333,0.253733,1180,6183
6/15/12,0.639167,0.176617,1563,6102
6/16/12,0.631667,0.166667,2963,4739
6/17/12,0.5925,0.144904,2634,4344
6/18/12,0.568333,0.174746,653,4446
6/19/12,0.688333,0.148017,968,5857
6/20/12,0.7825,0.113812,872,5339
6/21/12,0.805833,0.118787,778,5127
6/22/12,0.7775,0.182842,964,4859
6/23/12,0.731667,0.179721,2657,4801
6/24/12,0.743333,0.145525,2551,4340
6/25/12,0.715833,0.300383,1139,5640
6/26/12,0.630833,0.347642,1077,6365
6/27/12,0.6975,0.271775,1077,6258
6/28/12,0.749167,0.17165,921,5958
6/29/12,0.834167,0.165417,829,4634
6/30/12,0.765,0.161071,1455,4232
7/1/12,0.815833,0.168529,1421,4110
7/2/12,0.781667,0.195267,904,5323
7/3/12,0.780833,0.126237,1052,5608
7/4/12,0.789167,0.13495,2562,4841
7/5/12,0.8275,0.194029,1405,4836
7/6/12,0.828333,0.146142,1366,4841
7/7/12,0.861667,0.163554,1448,3392
7/8/12,0.8225,0.125629,1203,3469
7/9/12,0.710833,0.180975,998,5571
7/10/12,0.720833,0.151737,954,5336
7/11/12,0.716667,0.151733,975,6289
7/12/12,0.715833,0.146775,1032,6414
7/13/12,0.731667,0.08085,1511,5988
7/14/12,0.703333,0.143679,2355,4614
7/15/12,0.745833,0.166667,1920,4111
7/16/12,0.763333,0.164187,1088,5742
7/17/12,0.818333,0.114429,921,5865
7/18/12,0.793333,0.137442,799,4914
7/19/12,0.77,0.165429,888,5703
7/20/12,0.665833,0.208967,747,5123
7/21/12,0.595833,0.2133,1264,3195
7/22/12,0.6675,0.0939208,2544,4866
7/23/12,0.741667,0.138683,1135,5831
7/24/12,0.750833,0.211454,1140,6452
7/25/12,0.724167,0.1648,1383,6790
7/26/12,0.776667,0.284813,1036,5825
7/27/12,0.781667,0.152992,1259,5645
7/28/12,0.755833,0.15735,2234,4451
7/29/12,0.721667,0.170396,2153,4444
7/30/12,0.730833,0.153617,1040,6065
7/31/12,0.713333,0.165425,968,6248
8/1/12,0.7175,0.141179,1074,6506
8/2/12,0.7525,0.129354,983,6278
8/3/12,0.765833,0.215792,1328,5847
8/4/12,0.793333,0.257458,2345,4479
8/5/12,0.769167,0.290421,1707,3757
8/6/12,0.7525,0.129354,1233,5780
8/7/12,0.735833,0.116908,1278,5995
8/8/12,0.75,0.1107,1263,6271
8/9/12,0.755833,0.1561,1196,6090
8/10/12,0.715833,0.238813,1065,4721
8/11/12,0.6925,0.206479,2247,4052
8/12/12,0.700833,0.122512,2182,4362
8/13/12,0.720833,0.136212,1207,5676
8/14/12,0.726667,0.169158,1128,5656
8/15/12,0.706667,0.169771,1198,6149
8/16/12,0.719167,0.141796,1338,6267
8/17/12,0.723333,0.231354,1483,5665
8/18/12,0.678333,0.177867,2827,5038
8/19/12,0.635833,0.08645,1208,3341
8/20/12,0.635833,0.129979,1026,5504
8/21/12,0.649167,0.0727708,1081,5925
8/22/12,0.6675,0.0702833,1094,6281
8/23/12,0.695833,0.0845958,1363,6402
8/24/12,0.7025,0.0721458,1325,6257
8/25/12,0.661667,0.244408,1829,4224
8/26/12,0.653333,0.228858,1483,3772
8/27/12,0.703333,0.128733,989,5928
8/28/12,0.728333,0.190925,935,6105
8/29/12,0.685,0.112562,1177,6520
8/30/12,0.706667,0.0771167,1172,6541
8/31/12,0.764167,0.168533,1433,5917
9/1/12,0.753333,0.113187,2352,3788
9/2/12,0.696667,0.0640708,2613,3197
9/3/12,0.7075,0.151121,1965,4069
9/4/12,0.725833,0.236321,867,5997
9/5/12,0.736667,0.187808,832,6280
9/6/12,0.696667,0.142421,611,5592
9/7/12,0.703333,0.171646,1045,6459
9/8/12,0.659167,0.281104,1557,4419
9/9/12,0.61,0.224496,2570,5657
9/10/12,0.583333,0.258713,1118,6407
9/11/12,0.5775,0.0920542,1070,6697
9/12/12,0.599167,0.131846,1050,6820
9/13/12,0.6125,0.0827208,1054,6750
9/14/12,0.633333,0.103863,1379,6630
9/15/12,0.608333,0.247521,3160,5554
9/16/12,0.58,0.0901833,2166,5167
9/17/12,0.580833,0.151742,1022,5847
9/18/12,0.623333,0.357587,371,3702
9/19/12,0.5525,0.215175,788,6803
9/20/12,0.546667,0.118167,939,6781
9/21/12,0.599167,0.154229,1250,6917
9/22/12,0.65,0.283583,2512,5883
9/23/12,0.529167,0.223258,2454,5453
9/24/12,0.514167,0.142404,1001,6435
9/25/12,0.55,0.236321,845,6693
9/26/12,0.635,0.2444,787,6946
9/27/12,0.65,0.134342,751,6642
9/28/12,0.619167,0.164179,1045,6370
9/29/12,0.5425,0.227604,2589,5966
9/30/12,0.526667,0.134958,2015,4874
10/1/12,0.520833,0.0908042,763,6015
10/2/12,0.590833,0.104475,315,4324
10/3/12,0.6575,0.0665458,728,6844
10/4/12,0.6575,0.117546,891,6437
10/5/12,0.615,0.10635,1516,6640
10/6/12,0.554167,0.268025,3031,4934
10/7/12,0.415833,0.141162,781,2729
10/8/12,0.383333,0.189679,874,4604
10/9/12,0.446667,0.1903,601,5791
10/10/12,0.514167,0.187821,780,6911
10/11/12,0.435,0.181596,834,6736
10/12/12,0.4375,0.235092,1060,6222
10/13/12,0.393333,0.146142,2252,4857
10/14/12,0.521667,0.278612,2080,4559
10/15/12,0.561667,0.296037,760,5115
10/16/12,0.468333,0.182221,922,6612
10/17/12,0.455833,0.101371,979,6482
10/18/12,0.5225,0.236937,1008,6501
